[GIN] 2019/11/14 - 17:09:53 | 200 |    4.554743ms |       127.0.0.1 | GET      /
[GIN] 2019/11/14 - 17:09:53 | 200 |     394.573µs |       127.0.0.1 | GET      /static/libs/bootstrap-tagsinput/css/bootstrap-tagsinput.css
[GIN] 2019/11/14 - 17:09:53 | 200 |    8.058644ms |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.css
[GIN] 2019/11/14 - 17:09:53 | 200 |    7.316411ms |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.css
[GIN] 2019/11/14 - 17:09:53 | 200 |     313.914µs |       127.0.0.1 | GET      /static/images/logo.png
[GIN] 2019/11/14 - 17:09:53 | 200 |    9.757534ms |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/11/14 - 17:09:53 | 200 |      486.84µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/11/14 - 17:09:54 | 200 |   11.474352ms |       127.0.0.1 | GET      /static/js/jquery.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     608.068µs |       127.0.0.1 | GET      /static/js/tether.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |      738.05µs |       127.0.0.1 | GET      /static/js/bootstrap.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     397.081µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |    4.479451ms |       127.0.0.1 | GET      /static/libs/bootstrap-tagsinput/js/bootstrap-tagsinput.js
[GIN] 2019/11/14 - 17:09:54 | 200 |    4.235239ms |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     471.363µs |       127.0.0.1 | GET      /static/libs/waypoints/lib/jquery.waypoints.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     241.827µs |       127.0.0.1 | GET      /static/libs/counterup/jquery.counterup.min.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     390.861µs |       127.0.0.1 | GET      /static/js/jquery.core.js
[GIN] 2019/11/14 - 17:09:54 | 200 |     330.084µs |       127.0.0.1 | GET      /static/js/jquery.app.js
[GIN] 2019/11/14 - 17:09:57 | 200 |     838.573µs |       127.0.0.1 | GET      /static/fonts/Simple-Line-Icons.ttf?-i3a2kk
[GIN] 2019/11/14 - 17:09:57 | 200 |     733.039µs |       127.0.0.1 | GET      /static/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0
[GIN] 2019/11/14 - 17:09:57 | 200 |      874.79µs |       127.0.0.1 | GET      /static/fonts/fontawesome-webfont.woff2?v=4.6.2
[GIN] 2019/11/14 - 17:09:57 | 200 |     408.481µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/11/14 - 17:10:11 | 200 |    4.283261ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/11/14 - 17:10:12 | 200 |      5.1845ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/11/14 - 17:10:31 | 200 |    5.952642ms |       127.0.0.1 | GET      /report
[GIN] 2019/11/14 - 17:10:31 | 200 |  122.988824ms |       127.0.0.1 | GET      /static/libs/echarts/echarts.js
[GIN] 2019/11/14 - 17:10:31 | 200 |    1.866583ms |       127.0.0.1 | GET      /get/report/data
[GIN] 2019/11/14 - 17:10:33 | 200 |     2.10177ms |       127.0.0.1 | GET      /task
[GIN] 2019/11/14 - 17:10:33 | 200 |     931.995µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/11/14 - 17:10:34 | 200 |    2.131475ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/11/14 - 17:10:35 | 200 |    3.936292ms |       127.0.0.1 | GET      /setting
[GIN] 2019/11/14 - 17:10:36 | 200 |    2.469198ms |       127.0.0.1 | GET      /plugs
